	 Réf.	 Nom	Effet	Prix de vente
	 4614023.	Yeu'Ki'Pic	Vue : -3 | Effet de Zone	200 GG'
	 2312972.	Yeu'Ki'Pic	Vue : -3 | Effet de Zone	200 GG'
	 2386876.	Yeu'Ki'Pic	Vue : -3 | Effet de Zone	200 GG'
	 2449423.	Yeu'Ki'Pic	Vue : -3 | Effet de Zone	200 GG'
	 3926433.	Yeu'Ki'Pic	Vue : -3 | Effet de Zone	200 GG'
Potion
	 1707968.	Dover Powa	RM : -26 % | MM : +38 %	212 GG'
	 4062945.	Dover Powa	RM : -12 % | MM : +17 %	89 GG'
	 4305705.	Dover Powa	RM : -36 % | MM : +60 %	372 GG'
	 1598308.	Dover Powa	RM : -19 % | MM : +18 %	89 GG'
	 5274546.	Dover Powa	RM : -34 % | MM : +40 %	212 GG'
	 3443139.	Dover Powa	RM : -30 % | MM : +34 %	176 GG'
	 3229513.	Dover Powa	RM : -11 % | MM : +19 %	102 GG'
	 2549984.	Dover Powa	RM : -52 % | MM : +44 %	202 GG'
	 2791598.	Dover Powa	RM : -13 % | MM : +18 %	94 GG'
	 3062316.	Dover Powa	RM : -24 % | MM : +34 %	187 GG'
	 5959591.	Dover Powa	RM : -14 % | MM : +20 %	106 GG'
	 3941911.	Dover Powa	RM : -26 % | MM : +26 %	130 GG'
	 6226469.	Dover Powa	RM : -48 % | MM : +36 %	158 GG'
	 6757530.	Dover Powa	RM : -54 % | MM : +42 %	184 GG'
	 4115710.	Dover Powa	RM : -30 % | MM : +28 %	137 GG'
	 6662654.	Dover Powa	RM : -55 % | MM : +85 %	552 GG'
	 6578469.	Dover Powa	RM : -30 % | MM : +40 %	220 GG'
	 5396766.	Dover Powa	RM : -44 % | MM : +48 %	249 GG'
	 6048809.	Dover Powa	RM : -36 % | MM : +24 %	105 GG'
	 1462564.	Dover Powa Mélangées	RM : -27 % | MM : +31 %	161 GG'
	 1949544.	Dover Powa Mélangées	RM : -52 % | MM : +35 %	145 GG'
	 1951691.	Dover Powa Mélangées	RM : -24 % | MM : +33 %	179 GG'
	 2552173.	Elixir de Corruption	ATT : +5 D3 | ESQ : -5 D3 | DEG : +5 | REG : -5 | Vue : -5 | Armure : +5 | RM : -6 % | MM : -8 %	350 GG'
	 1789703.	Elixir de Corruption	ATT : +3 D3 | ESQ : -3 D3 | DEG : +3 | REG : -3 | Vue : -3 | Armure : +3	150 GG'
	 1845500.	Elixir de Corruption	ATT : +5 D3 | ESQ : -5 D3 | DEG : +5 | REG : -5 | Vue : -5 | Armure : +5 | RM : -6 % | MM : -8 %	350 GG'
	 2019211.	Elixir de Corruption	ATT : +4 D3 | ESQ : -4 D3 | DEG : +4 | REG : -4 | Vue : -4 | Armure : +4 | RM : -6 % | MM : -6 %	250 GG'
	 1920263.	Elixir de Corruption	ATT : +4 D3 | ESQ : -4 D3 | DEG : +4 | REG : -4 | Vue : -4 | Armure : +4 | RM : -10 % | MM : -6 %	250 GG'
	 1660519.	Elixir de Corruption	ATT : +4 D3 | ESQ : -4 D3 | DEG : +4 | REG : -4 | Vue : -4 | Armure : +4 | RM : -6 % | MM : -10 %	250 GG'
	 1672383.	Elixir de Corruption	ATT : +4 D3 | ESQ : -4 D3 | DEG : +4 | REG : -4 | Vue : -4 | Armure : +4 | RM : -6 % | MM : -10 %	250 GG'
	 2075224.	Elixir de Corruption	ATT : +4 D3 | ESQ : -4 D3 | DEG : +4 | REG : -4 | Vue : -4 | Armure : +4 | RM : -6 % | MM : -8 %	250 GG'
	 2497374.	Elixir de Corruption	ATT : +3 D3 | ESQ : -3 D3 | DEG : +3 | REG : -3 | Vue : -3 | Armure : +3	150 GG'
	 6664412.	Elixir de Corruption	ATT : +5 D3 | ESQ : -5 D3 | DEG : +5 | REG : -5 | Vue : -5 | Armure : +5 | RM : -10 % | MM : -8 %	350 GG'
	 4689745.	Elixir de Corruption	ATT : +3 D3 | ESQ : -3 D3 | DEG : +3 | REG : -3 | Vue : -3 | Armure : +3	150 GG'
	 4561967.	Elixir de Corruption	ATT : +5 D3 | ESQ : -5 D3 | DEG : +5 | REG : -5 | Vue : -5 | Armure : +5 | RM : -6 % | MM : -9 %	350 GG'
	 3770209.	Elixir de Corruption	ATT : +3 D3 | ESQ : -3 D3 | DEG : +3 | REG : -3 | Vue : -3 | Armure : +3	150 GG'
	 6489111.	Elixir de Corruption	ATT : +4 D3 | ESQ : -4 D3 | DEG : +4 | REG : -4 | Vue : -4 | Armure : +4 | RM : -6 % | MM : -10 %	250 GG'
	 6339039.	Elixir de Corruption	ATT : +5 D3 | ESQ : -5 D3 | DEG : +5 | REG : -5 | Vue : -5 | Armure : +5 | RM : -8 % | MM : -7 %	300 GG'
	 1286420.	Elixir de Corruption	ATT : +4 D3 | ESQ : -4 D3 | DEG : +4 | REG : -4 | Vue : -4 | Armure : +4 | RM : -10 % | MM : -6 %	200 GG'
	 9200626.	Elixir de Corruption	ATT : +3 D3 | ESQ : -3 D3 | DEG : +3 | REG : -3 | Vue : -3 | Armure : +3	200 GG'
	 4543500.	Elixir de Fertilité	ATT : +4 D3 | DEG : +4	250 GG'
	 6749224.	Elixir de Fertilité	ATT : +4 D3 | DEG : +4	250 GG'
	 1909391.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 820496.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 3117005.	Elixir de Longue-Vue	Vue : +2	100 GG'
	 2636447.	Elixir de Longue-Vue	Vue : +2	100 GG'
	 1942991.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 2499277.	Elixir de Longue-Vue	Vue : +2	100 GG'
	 2376308.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 2545909.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 2757677.	Elixir de Longue-Vue	Vue : +2	100 GG'
	 3523729.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 3397534.	Elixir de Longue-Vue	Vue : +2	100 GG'
	 3159685.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 6007688.	Elixir de Longue-Vue	Vue : +8	750 GG'
	 4161049.	Elixir de Longue-Vue	Vue : +2	100 GG'
	 6270192.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 5246039.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 7186298.	Elixir de Longue-Vue	Vue : +2	100 GG'
	 6584963.	Elixir de Longue-Vue	Vue : +3	150 GG'
	 6620031.	Elixir de Longue-Vue	Vue : +2	100 GG'
	 1768235.	Elixir de Longue-Vue Mélangées	Vue : +4	250 GG'
	 1692192.	Elixir de Longue-Vue Mélangées	Vue : +4	250 GG'
	 6844343.	Essence de KouleMann	REG : +1 | Vue : +1	50 GG'
	 2723373.	Grippe en Conserve	ATT : -4 D3 | ESQ : -4 D3 | DEG : -4 | REG : -4	250 GG'
	 2691201.	Jus de Chronomètre	TOUR : -30 min	50 GG'
	 3263401.	Métomol	TOUR : -20 min | Armure : -4	100 GG'
	 6026724.	Métomol	TOUR : -30 min | Armure : -6	150 GG'
	 7853126.	Métomol	TOUR : -30 min | Armure : -6	200 GG'
	 7596647.	Métomol	TOUR : -20 min | Armure : -4	200 GG'
	 6206254.	Métomol	TOUR : -30 min | Armure : -6	150 GG'
	 5524750.	Métomol	TOUR : -10 min | Armure : -2	100 GG'
	 7296947.	Métomol	TOUR : -20 min | Armure : -4	200 GG'
	 4363660.	Métomol	TOUR : -30 min | Armure : -6	200 GG'
	 4809890.	Métomol	TOUR : -40 min | Armure : -8	300 GG'
	 3974686.	Métomol	TOUR : -50 min | Armure : -10	500 GG'
	 4812052.	Métomol	TOUR : -30 min | Armure : -6	300 GG'
	 8779592.	Métomol	TOUR : -30 min | Armure : -6	300 GG'
	 8657162.	Potion de Pàïntûré (Niv.1)	Pàïntûré (Niv.1)	1000 GG'
	 1507711.	Potions Mélangées	RM : +83 % | MM : -89 %	390 GG'
	 1939056.	Potions Mélangées .	REG : +2 | Vue : +2 | RM : -30 % | MM : +24 %	212 GG'
	 1186962.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 1083364.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 7795353.	PufPuff	Vue : -1 | Effet de Zone	100 GG'
	 2891932.	PufPuff	Vue : -1 | Effet de Zone	100 GG'
	 1869035.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 1879166.	PufPuff	Vue : -1 | Effet de Zone	100 GG'
	 465843.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 4631950.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 2549240.	PufPuff	Vue : -1 | Effet de Zone	100 GG'
	 2603213.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 2639641.	PufPuff	ATT : -2 D3 | ESQ : -2 D3 | Vue : -3 | Effet de Zone	300 GG'
	 6670591.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 3928223.	PufPuff	Vue : -1 | Effet de Zone	100 GG'
	 4917171.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 4547946.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 3316928.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 6274842.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 3512666.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 5539228.	PufPuff	Vue : -1 | Effet de Zone	100 GG'
	 5701932.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 5770715.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 5949415.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	200 GG'
	 5543036.	PufPuff	Vue : -1 | Effet de Zone	100 GG'
	 9520541.	PufPuff	ATT : -1 D3 | ESQ : -1 D3 | Vue : -2 | Effet de Zone	100 GG'
	 7341847.	Rhume en Conserve	ATT : -1 D3 | ESQ : -1 D3 | DEG : -1 | REG : -1	100 GG'
	 7421427.	Rhume en Conserve	ATT : -2 D3 | ESQ : -2 D3 | DEG : -2 | REG : -2	200 GG'
	 8496636.	Rhume en Conserve	ATT : -1 D3 | ESQ : -1 D3 | DEG : -1 | REG : -1	100 GG'
	 7536757.	Rhume en Conserve	ATT : -1 D3 | ESQ : -1 D3 | DEG : -1 | REG : -1	100 GG'
	 4329999.	Rhume en Conserve	ATT : -1 D3 | ESQ : -1 D3 | DEG : -1 | REG : -1	100 GG'
	 1907733.	Sang de Toh Réroh	ATT : +2 D3 | ESQ : +2 D3	100 GG'
	 2303853.	Sang de Toh Réroh	ATT : +2 D3 | ESQ : +2 D3	100 GG'
	 2322853.	Sang de Toh Réroh	ATT : +3 D3 | ESQ : +3 D3 | Vue : +1	150 GG'
	 1928851.	Sang de Toh Réroh	ATT : +3 D3 | ESQ : +3 D3 | Vue : +1	150 GG'
	 8527623.	Sang de Toh Réroh	ATT : +1 D3 | ESQ : +1 D3	100 GG'
	 6050973.	Sang de Toh Réroh	ATT : +2 D3 | ESQ : +2 D3	100 GG'
	 6855405.	Sang de Toh Réroh	ATT : +3 D3 | ESQ : +3 D3 | Vue : +1	200 GG'
	 2786657.	Sang de Toh Réroh	ATT : +3 D3 | ESQ : +3 D3 | Vue : +1	200 GG'
	 3275247.	Sang de Toh Réroh	ATT : +2 D3 | ESQ : +2 D3	100 GG'
	 665997.	Sang de Toh Réroh à trõïs cõrnés	ATT : +3 D3 | ESQ : +3 D3 | Vue : +1	150 GG'
	 2060281.	Sinne Khole	RM : +19 % | MM : -13 %	100 GG'
	 2652995.	Sinne Khole	RM : +17 % | MM : -12 %	89 GG'
	 4177218.	Sinne Khole	RM : +17 % | MM : -14 %	87 GG'
	 1924752.	Sinne Khole	RM : +39 % | MM : -57 %	159 GG'
	 1197820.	Sinne Khole	RM : +18 % | MM : -12 %	95 GG'
	 3925124.	Sinne Khole	RM : +45 % | MM : -60 %	191 GG'
	 3830395.	Sinne Khole	RM : +57 % | MM : -39 %	336 GG'
	 3766481.	Sinne Khole	RM : +64 % | MM : -48 %	371 GG'
	 5000707.	Sinne Khole	RM : +26 % | MM : -28 %	127 GG'
	 1895234.	Sinne Khole	RM : +15 % | MM : -17 %	73 GG'
	 4175594.	Sinne Khole	RM : +80 % | MM : -70 %	440 GG'
	 3358024.	Sinne Khole	RM : +52 % | MM : -64 %	228 GG'
	 2241680.	Sinne Khole	RM : +42 % | MM : -60 %	172 GG'
	 3108586.	Sinne Khole	RM : +57 % | MM : -48 %	310 GG'
	 6649118.	Sinne Khole	RM : +38 % | MM : -32 %	201 GG'
	 6534420.	Sinne Khole	RM : +72 % | MM : -64 %	388 GG'
	 5827083.	Sinne Khole	RM : +33 % | MM : -45 %	145 GG'
	 1490227.	Sinne Khole Mélangées	RM : +36 % | MM : -31 %	189 GG'
	 1500078.	Sinne Khole Mélangées	RM : +68 % | MM : -85 %	282 GG'
	 1775075.	Sinne Khole Mélangées	RM : +48 % | MM : -47 %	242 GG'
	 1771485.	Sinne Khole Mélangées	RM : +54 % | MM : -40 %	307 GG'
	 1775074.	Sinne Khole Mélangées	RM : +51 % | MM : -40 %	283 GG'
	 1959532.	Sinne Khole Mélangées	RM : +28 % | MM : -31 %	135 GG'
	 1958221.	Sinne Khole Mélangées .	RM : +59 % | MM : -80 %	233 GG'
	 1963067.	Sinne Khole Mélangées .	RM : +101 % | MM : -122 %	398 GG'
	 6358354.	Sortilège usage unique : Flash Aveuglant		1000 GG'
	 4066982.	Toxine Violente	PV : -2 D3	100 GG'
	 3659953.	Voï'Pu'Rin	Vue : -20	400 GG'
	 7377752.	Voï'Pu'Rin	Vue : -10	400 GG'
	 7485273.	Voï'Pu'Rin	Vue : -10	400 GG'
	 1167300.	Voï'Pu'Rin	Vue : -20	400 GG'
	 7318903.	Voï'Pu'Rin	Vue : -10	400 GG'
	 7423804.	Voï'Pu'Rin	Vue : -10	400 GG'
	 7027419.	Voï'Pu'Rin	Vue : -40	500 GG'
	 7894045.	Voï'Pu'Rin	Vue : -10	400 GG'
	 8587033.	Voï'Pu'Rin	Vue : -20	400 GG'
	 7460224.	Voï'Pu'Rin	Vue : -20	400 GG'
	 2360898.	Voï'Pu'Rin	Vue : -30	400 GG'
	 7381842.	Zet Crakdedand	ATT : -1 D3 | ESQ : -1 D3 | Vue : -1 | PV : +2 D3	200 GG'
	 5037075.	Zet Crakdedand	ATT : -4 D3 | ESQ : -4 D3 | Vue : -1 | PV : +8 D3	300 GG'
Talisman
	 1563668.	Collier à Pointes du Vent	DEG : +1\-1 | Armure : +1	5000 GG'
	 3474106.	Collier à Pointes	ESQ : -1 | DEG : +1 | Armure : +1	400 GG'
	 5265194.	Collier à Pointes	ESQ : -1 | DEG : +1 | Armure : +1	50 GG'
	 6158443.	Collier à Pointes	ESQ : -1 | DEG : +1 | Armure : +1	50 GG'
	 3526257.	Collier de dents	DEG : +1 | TOUR : +5 min	100 GG'
	 6278373.	Collier de dents	DEG : +1 | TOUR : +5 min	50 GG'
	 6766927.	Collier de dents	DEG : +1 | TOUR : +5 min	50 GG'
	 1919894.	Collier de pierre	RM : +8 % | MM : +8 %	1000 GG'
	 1829559.	Collier de pierre	RM : +7 % | MM : +10 %	1200 GG'
	 3089669.	Gorgeron en cuir	Armure : +1	200 GG'
	 2716320.	Gorgeron en cuir du Roc	ESQ : -1 | Armure : +1\+1	2000 GG'
	 2642251.	Gorgeron en métal	REG : -1 | Armure : +2	200 GG'
	 1306825.	Gorgeron en métal	REG : -1 | Armure : +2	350 GG'
	 670337.	Gorgeron en métal	REG : -1 | Armure : +2	350 GG'
	 784932.	Gorgeron en métal	REG : -1 | Armure : +2	350 GG'
	 787994.	Gorgeron en métal	REG : -1 | Armure : +2	350 GG'
	 3414954.	Gorgeron en métal	REG : -1 | Armure : +2	350 GG'
	 4763006.	Gorgeron en métal	REG : -1 | Armure : +2	10 GG'
	 6561420.	Gorgeron en métal	REG : -1 | Armure : +2	10 GG'
	 5360665.	Gorgeron en métal	REG : -1 | Armure : +2	10 GG'
	 2931076.	Talisman d'Obsidienne	ATT : +1 | DEG : +2 | REG : -4 | RM : +24 % | MM : +34 %	5000 GG'
	 4621208.	Talisman d'Obsidienne	ATT : +1 | DEG : +2 | REG : -4 | RM : +26 % | MM : +22 %	3500 GG'
	 4728400.	Talisman d'Obsidienne	ATT : +1 | DEG : +2 | REG : -4 | RM : +26 % | MM : +26 %	4000 GG'
	 2957347.	Talisman de pierre	REG : -1 | RM : +19 % | MM : +13 %	2000 GG'
	 1445550.	Talisman de pierre	REG : -1 | RM : +14 % | MM : +11 %	1500 GG'
	 2846705.	Talisman de pierre	REG : -1 | RM : +11 % | MM : +15 %	1500 GG'
	 3510703.	Talisman de pierre	REG : -1 | RM : +18 % | MM : +12 %	2000 GG'
	 4489738.	Torque de pierre	REG : -2 | RM : +24 % | MM : +32 %	5000 GG'
